"n" "SNR1" "SNR2" "b" "llik.dec" "piik1" "piik2" "piik3" "theta2.sim" "theta2.hat" "sigma2.sim" "sigma2.hat" "MSE.mu1" "MSE.mu2" "MSE.mu3" "MSE.Q1" "MSE.Q2" "MSE.Q3" "MSE.beta1" "MSE.beta2" "MSE.beta3" "MSE.betaQ1" "MSE.betaQ2" "MSE.betaQ3" "MSE.pred"
1000 3 5 2 0 0.200000005090663 0.323324269486474 0.476675725422863 0.176666379989432 0.690095716436158 0.104039075825977 0.105099762755576 0.0649671006816284 0.0128700004528549 5.29148940435327 0.0405777264088104 0.0393667780090017 0.455945063476317 0.959808216796047 0.690490719372115 13.5731030780107 0.0027166363458539 0.00176313496681881 0.00132091103185226 59.9130033301025
1000 10 5 2 1 0.2 0.34375 0.45625 0.0152726876917748 0.0454733307702597 0.00936351682433796 0.00897754690148869 0.136549018104904 0.0175113715078674 3.68380388664076 0.215948268273751 0.0362972791911062 0.422442251571815 2.19819602199516 0.69074445418223 13.1995414560091 0.000350907030272565 0.000102791341083026 0.000203934407961018 61.2005130678035
1000 5 3 2 1 0.2 0.324995448785812 0.475004551214188 0.0635998967961956 0.216518841514858 0.0374540672973519 0.0374797291081653 0.118348991623053 0.0137988648222648 4.79407093583176 0.0282783177731105 0.0324681180516296 0.445218223548314 0.462884982729962 0.486862945199845 13.3399731357056 0.000941245535816532 0.000602537000290195 0.000466809377714477 57.2606409168557
1000 5 10 2 1 0.200000000000509 0.343716097982263 0.456283902017228 0.0610907507670991 0.217636481350685 0.0374540672973519 0.035842596360586 0.0840480048952309 0.00782561803506518 3.77133433733336 0.183753787494304 0.0219252569215406 0.44197581320504 3.12791255629583 0.492165523573523 12.8656572542016 0.00137522293586587 0.000384222226006175 0.000806828548574872 62.3428922922578
500 5 5 3 0 0.195 0.337500022185468 0.467499977814532 0.057307320277022 0.170553450319687 0.0374540672973519 0.036360719686569 0.0563113251777864 0.0241425590645891 4.50677164495547 0.090050402469799 0.0457096620445455 0.30226150437737 1.3217373565133 0.903122037549126 8.79371423727446 0.00227061734160327 0.00104647999163966 0.00142939976451511 63.3173335314057
1000 5 5 3 0 0.22875 0.34625166916884 0.42499833083116 0.0561279632811442 0.195424932556206 0.0374540672973519 0.0352946411058545 0.0885589707541372 0.0110823297904348 3.90224654769115 0.205270481867478 0.0524432732421342 0.388023429729066 3.65302626021244 1.26557923295253 12.1634103385551 0.00205874511125078 0.00038199665208783 0.00124826805751966 70.2547892128204
10000 5 5 3 0 0.204625 0.347747786826227 0.447627213173774 0.0581733894602379 0.19110298048155 0.0374540672973519 0.0366238633842616 0.0640891454036004 0.0150541774847105 3.76950479379916 0.218127189386733 0.0485243925407827 0.439830688512439 3.50837771679125 0.967373027486091 12.7037656132955 0.000131600404946264 4.03610816046467e-05 6.68980761628194e-05 62.2804596806156
1000 3 5 3 0 0.218751925368846 0.320031876144398 0.461216198486756 0.161801275491713 0.684861475030396 0.104039075825977 0.104552140366897 0.0177106835231003 0.0132333862864844 6.25098311515577 0.129365082860645 0.0643116986465315 0.265573190936592 4.11296936774194 1.3681921780281 8.35905322373185 0.00368702815958546 0.00114439185730571 0.00189579794672213 67.1499596496276
1000 10 5 3 1 0.22125 0.345 0.43375 0.015231287032035 0.0393173872550347 0.00936351682433796 0.00903278009672702 0.0874295203406174 0.0462129161991297 3.23899361766308 0.0953881056825333 0.0453812899246881 0.313078608503242 0.98945086657082 0.583842414224231 9.53778433740274 0.000262614825682961 9.92204054846784e-05 0.000145245302883549 59.2049695466935
1000 5 3 3 0 0.218750000000301 0.319999923133288 0.461250076866411 0.0582484591770166 0.214275995486075 0.0374540672973519 0.0371623827326216 0.0306131499614365 0.0191873920355993 5.50980438998675 0.12770612454098 0.0545206635087704 0.271175241868195 2.74311268294464 0.976045210227698 8.76794032777911 0.00127534975640228 0.000414451323024654 0.000672751228527382 64.0680224578548
