"n" "SNR1" "SNR2" "b" "llik.dec" "piik1" "piik2" "piik3" "theta2.sim" "theta2.hat" "sigma2.sim" "sigma2.hat" "MSE.mu1" "MSE.mu2" "MSE.mu3" "MSE.Q1" "MSE.Q2" "MSE.Q3" "MSE.beta1" "MSE.beta2" "MSE.beta3" "MSE.betaQ1" "MSE.betaQ2" "MSE.betaQ3" "MSE.pred"
500 5 5 3 1 0.19500000000001 0.33753647810165 0.46746352189834 0.057307320277022 2.09555942889897 0.0374540672973519 0.0348400891171558 0.00121286833794393 0.0305598091573674 2.37623084615842 0.104383530363203 0.0417374828628886 0.367288122527239 10.7786917064193 1.084377589638 12.0519085143783 0.0022250774558072 0.00226320767175767 0.0235892154632971 62.4964376923783
1000 5 5 3 1 0.228749999999999 0.346332783558721 0.424917216441281 0.0561279632811442 1.91473252587075 0.0374540672973519 0.0344978662284671 0.000305197641376346 0.000118477544308624 1.36921394951639 0.147381471427224 0.0557997569144085 0.440943005635669 15.6341795898511 6.5728122832047 15.8025174997365 0.00197063406719354 0.000366473703862646 0.0273434363084483 70.2312613240201
10000 5 5 3 1 0.204624999999773 0.347831527855007 0.44754347214522 0.0581733894602379 1.83213360961854 0.0374540672973519 0.0357011979631184 1.69189646023385e-05 0.000308562643495236 1.25556207947194 0.154445065019907 0.0520155479307324 0.475494618845485 15.3854374607782 4.83651095684296 15.0229126028262 0.000134410448390424 8.09833435617339e-05 0.00168473163383914 62.1655801760167
1000 3 5 3 1 0.218754585397361 0.320267071331688 0.460978343270951 0.161801275491713 2.65872988746385 0.104039075825977 0.103407928796824 0.00186145325327852 0.000400807474814497 1.54908124942471 0.128651543177645 0.0651640508676166 0.242193660821369 16.4092882817836 3.72215975579574 10.5237518357311 0.00367026531132857 0.00109235411539361 0.0165044604421453 67.0954676848818
1000 10 5 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
500 5 5 4 1 0.18499999999952 0.307973707942676 0.507026292057803 0.0633411539367547 2.69574112951264 0.0374540672973519 0.0384102838272897 0.00159502966702645 6.16225700195266 1.6169438795441 0.10330531951195 0.121184339368755 0.200477842944451 7.86046596068238 16.2659237260297 1.98017751340349 0.00275852159688327 2.78851760279928 1.86760716841885 52.9732885038267
1000 5 5 4 1 0.200000000035241 0.343742508994293 0.456257490970466 0.0610907507670991 2.03580088406704 0.0374540672973519 0.0349110241374067 0.000295783081863586 0.000280712406137229 1.45934133855365 0.135123559504614 0.039864505629924 0.444716491290791 14.6085555699838 3.23546519623877 16.3130273768802 0.00143440809665279 0.000529849676922461 0.0130431043502974 62.2269952812451
10000 5 5 4 1 0.20562499999971 0.351731840983306 0.442643159016984 0.0596036199328835 1.89153075336249 0.0374540672973519 0.0357058598001776 6.3873990600955e-05 5.55021066853582e-06 1.28802015479034 0.176113232951979 0.053426113313927 0.434141307725452 16.8699537145216 6.85474178460142 13.6371510612586 9.14137962250064e-05 7.50537341415832e-05 0.000995352187214641 57.8210128374656
1000 3 5 4 1 0.206249994499374 0.357915614727838 0.435834390772788 0.168972567861682 2.50575031058604 0.104039075825977 0.103085243985406 0.00137196061960679 0.000232944791333545 0.903727445844021 0.155504088072196 0.0514047731459084 0.295930932447999 19.755619506053 4.49828599292286 12.8591227115966 0.00206711764059476 0.000961125635687753 0.0161292130253905 60.0159270219982
1000 10 5 4 1 0.19875 0.351249999997803 0.450000000002197 0.0147252047489637 3.44629519030183 0.00936351682433796 0.00888674923034609 0.0300007191176216 0.0091911586424842 2.69007143897542 0.214053820005979 0.0366647885572669 0.42469312648423 5.21397161515216 8.22406007323126 13.0886125365318 0.0008569995992726 0.000216295221572401 0.00938048192953895 49.5600309234203
